Code_UIC;Libelle_point_arret;train;RER;tram;bus;A;B;C;D;E;H;J;K;L;N;P;R;U;T4;TER
87681353;GRAND BOURG;;1;;;;;;1;;;;;;;;;;;
87545160;LARDY;;1;;;;;1;;;;;;;;;;;;
87386664;LES CLAIRIERES DE VERNEUIL;1;;;;;;;;;;1;;;;;;;;
87113845;LES COQUETIERS (T4);;;1;;;;;;;;;;;;;;;1;
87276238;LES NOUES;;1;;;;;;1;;;;;;;;;;;
87113852;LES PAVILLONS SOUS BOIS (T4);;;1;;;;;;;;;;;;;;;1;
87113803;LES YVRIS - NOISY LE GRAND;;1;;;;;;;1;;;;;;;;;;
87386425;MAISONS LAFFITTE;1;1;;;1;;;;;;;;1;;;;;;
87381715;MAREIL SUR MAULDRE;1;;;;;;;;;;;;;1;;;;;
87116665;MAREUIL SUR OURCQ;1;;;;;;;;;;;;;;1;;;;
87276667;MERY SUR OISE;1;;;;;;;;;1;;;;;;;;;
87381160;MONTGEROULT COURCELLES;1;;;;;;;;;;1;;;;;;;;
87386318;NANTERRE PREFECTURE;;1;;;1;;;;;;;;;;;;;;
87758045;NANTERRE VILLE;;1;;;1;;;;;;;;;;;;;;
87116558;NANTEUIL SAACY;1;;;;;;;;;;;;;;1;;;;
87276758;NOINTEL MOURS;1;;;;;;;;;1;;;;;;;;;
87546200;ORLY VILLE;;1;;;;;1;;;;;;;;;;;;
87381145;OSNY;1;;;;;;;;;;1;;;;;;;;
87546192;PONT DE RUNGIS AÃ©roport d'Orly;;1;;;;;1;;;;;;;;;;;;
87681338;RIS ORANGIS;;1;;;;;;1;;;;;;;;;;;
87337980;SAINT-OUEN L'AUMONE LIESSE;1;1;;;;;1;;;1;;;;;;;;;
87684217;SOUPPES CHÃTEAU LANDON;1;;;;;;;;;;;;;;;1;;;
87382374;SURESNES MONT VALERIEN;1;;;;;;;;;;;;1;;;;1;;
87393157;VERSAILLES RIVE GAUCHE - CHÃTEAU DE VERSAILLES;;1;;;;;1;;;;;;;;;;;;
87276279;ORRY LA VILLE COYE LA FORET;;1;;;;;;1;;;;;;;;;;;
87683128;CHAMPIGNY SUR YONNE;1;;;;;;;;;;;;;;;;;;1
87682104;MONTGERON CROSNE;;1;;;;;;1;;;;;;;;;;;
87116582;CHATEAU THIERRY;1;;;;;;;;;;;;;;1;;;;
87382440;BOUGIVAL;1;;;;;;;;;;;;1;;;;;;
87116400;MONTRY CONDE;1;;;;;;;;;;;;;;1;;;;
87276410;PRECY SUR OISE;1;;;;;;;;;1;;;;;;;;;
87271015;SAINT-DENIS;1;1;1;;;;;1;;1;;;;;;;;;
87545517;SERMAISE;;1;;;;;1;;;;;;;;;;;;
87271445;SEVRAN BEAUDOTTES;;1;;;;1;;;;;;;;;;;;;
87381657;ACHERES VILLE;1;1;;;1;;;;;;;;1;;;;;;
87681635;LE COUDRAY MONTCEAUX;;1;;;;;;1;;;;;;;;;;;
87281873;MAGENTA;;1;;;;;;;1;;;;;;;;;;
87393082;MEUDON VAL FLEURY;;1;;;;;1;;;;;;;;;;;;
87682203;BOIS LE ROI;1;;;;;;;;;;;;;;;1;;;
87682518;BOISSISE LE ROI;;1;;;;;;1;;;;;;;;;;;
87276394;ECOUEN EZANVILLE;1;;;;;;;;;1;;;;;;;;;
87681601;ESSONNES ROBINSON;;1;;;;;;1;;;;;;;;;;;
87276360;GROSLAY;1;;;;;;;;;1;;;;;;;;;
87545129;GUILLERVAL;1;;;;;;;;;;;;;;;;;;1
87393033;INVALIDES;;1;;;;;1;;;;;;;;;;;;
87682476;LA GRANDE PAROISSE;1;;;;;;;;;;;;;;;1;;;
87682153;LIEUSAINT MOISSY;;1;;;;;;1;;;;;;;;;;;
87381582;LIMAY;1;;;;;;;;;;1;;;;;;;;
87276139;PONTOISE;1;1;;;;;1;;;1;1;;;;;;;;
87382382;PUTEAUX;1;;1;;;;;;;;;;1;;;;1;;
87276402;SAINT-LEU D ESSERENT;1;;;;;;;;;1;;;;;;;;;
87393843;SAINT-QUENTIN EN YVELINES;1;1;;;;;1;;;;;;;1;;;1;;
87276261;SURVILLIERS FOSSES;;1;;;;;;1;;;;;;;;;;;
87276634;TAVERNY;1;;;;;;;;;1;;;;;;;;;
87415604;VERNON;1;;;;;;;;;;1;;;;;;;;
87758672;ARCUEIL CACHAN;;1;;;;1;;;;;;;;;;;;;
87381079;BOIS COLOMBES;1;;;;;;;;;;1;;;;;;;;
87758698;BOURG LA REINE;;1;;;;1;;;;;;;;;;;;;
87382333;CHAVILLE RIVE DROITE;1;;;;;;;;;;;;1;;;;;;
87113860;GARGAN (T4);;;1;;;;;;;;;;;;;;;1;
87116616;ISLES ARMENTIERES CONGIS;1;;;;;;;;;;;;;;1;;;;
87271304;LA COURNEUVE AUBERVILLIERS;;1;;;;1;;;;;;;;;;;;;
87113886;L'ABBAYE (T4);;;1;;;;;;;;;;;;;;;1;
87492108;LES ARDOINES;;1;;;;;1;;;;;;;;;;;;
87113779;LES BOULLEREAUX CHAMPIGNY;;1;;;;;;;1;;;;;;;;;;
87758367;LOGNES;;1;;;1;;;;;;;;;;;;;;
87381616;MENERVILLE;1;;;;;;;;;;;;;;;;;;1
87684100;MONTIGNY SUR LOING;1;;;;;;;;;;;;;;;1;;;
87271577;NANTEUIL LE HAUDOIN;1;;;;;;;;;;;1;;;;;;;
87683003;SENS;1;;;;;;;;;;;;;;;;;;1
87758193;SUCY BONNEUIL;;1;;;1;;;;;;;;;;;;;;
87758110;VINCENNES;;1;;;1;;;;;;;;;;;;;;
87545350;SAINT-MARTIN D ETAMPES;;1;;;;;1;;;;;;;;;;;;
87381798;VAL D'ARGENTEUIL;1;;;;;;;;;;1;;;;;;;;
87272021;VILLAINES;1;;;;;;;;;1;;;;;;;;;
87608802;CRETEIL POMPADOUR;;1;;;;;;1;;;;;;;;;;;
87393413;VILLEPREUX LES CLAYES;1;;;;;;;;;;;;;1;;;;;
87547026;PARIS AUSTERLITZ (GARE D'AUSTERLITZ);;1;;;;;1;;;;;;;;;;;;
87386649;VILLENNES SUR SEINE;1;;;;;;;;;;1;;;;;;;;
87545459;LA NORVILLE SAINT-GERMAIN LES ARPAJON;;1;;;;;1;;;;;;;;;;;;
87758334;NOISY LE GRAND MONT D'EST;;1;;;1;;;;;;;;;;;;;;
87276592;GROS NOYER SAINT-PRIX;1;;;;;;;;;1;;;;;;;;;
87684126;NEMOURS SAINT-PIERRE;1;;;;;;;;;;;;;;;1;;;
87382887;VIROFLAY RIVE DROITE;1;;;;;;;;;;;;1;;;;;;
87545186;MAROLLES EN HUREPOIX;;1;;;;;1;;;;;;;;;;;;
87115873;CHAMPBENOIST POIGNY;1;;;;;;;;;;;;;;1;;;;
87393876;NOISY LE ROI;1;;;;;;;;;;;;1;;;;;;
87381483;MAURECOURT;1;;;;;;;;;;1;;;;;;;;
87758805;PALAISEAU;;1;;;;1;;;;;;;;;;;;;
87393009;VERSAILLES CHANTIERS;1;1;;;;;1;;;;;;;1;;;1;;
87113795;VILLIERS SUR MARNE PLESSIS TREVISE;;1;;;;;;;1;;;;;;;;;;
87271171;LA BARRE ORMESSON;1;;;;;;;;;1;;;;;;;;;
87758086;LE VESINET LE PECQ;;1;;;1;;;;;;;;;;;;;;
87681452;LA FERTE ALAIS;;1;;;;;;1;;;;;;;;;;;
87758326;BRY SUR MARNE;;1;;;1;;;;;;;;;;;;;;
87394130;MAINTENON;1;;;;;;;;;;;;;;;;;;1
87682500;VOSVES;;1;;;;;;1;;;;;;;;;;;
87682120;BRUNOY;;1;;;;;;1;;;;;;;;;;;
87758706;SCEAUX;;1;;;;1;;;;;;;;;;;;;
87381905;CERGY PREFECTURE;1;1;;;1;;;;;;;;1;;;;;;
87381137;ASNIERES SUR SEINE;1;;;;;;;;;;1;;1;;;;;;
87543090;ANGERVILLE;;;;1;;;1;;;;;;;;;;;;1
87116509;CHANGIS SAINT-JEAN;1;;;;;;;;;;;;;;1;;;;
87271163;PIERREFITTE STAINS;;1;;;;;;1;;;;;;;;;;;
87381129;CLICHY LEVALLOIS;1;;;;;;;;;;;;1;;;;;;
87271593;CREPY EN VALOIS;1;;;;;;;;;;;1;;;;;;;
87758599;AUBER;;1;;;1;;;;;;;;;;;;;;
87381491;ANDRESY;1;;;;;;;;;;1;;;;;;;;
87758177;CHAMPIGNY;;1;;;1;;;;;;;;;;;;;;
87682419;CHARTRETTES;1;;;;;;;;;;;;;;;1;;;
87545756;CHATEAUDUN;1;;;;;;;;;;;;;;;;;;1
87758144;JOINVILLE LE PONT;;1;;;1;;;;;;;;;;;;;;
87430918;JOUY SUR MORIN CHAMPGOULIN;;;;1;;;;;;;;;;;1;;;;
87545293;VITRY SUR SEINE;;1;;;;;1;;;;;;;;;;;;
87113407;BONDY;;1;1;;;;;;1;;;;;;;;;1;
87681478;BOUTIGNY;;1;;;;;;1;;;;;;;;;;;
87276345;DEUIL MONTMAGNY;1;;;;;;;;;1;;;;;;;;;
87540179;DOURDAN LA FORET;;1;;;;;1;;;;;;;;;;;;
87116277;FAREMOUTIERS POMMEUSE;1;;;;;;;;;;;;;;1;;;;
87381566;GARGENVILLE;1;;;;;;;;;;1;;;;;;;;
87681627;LE PLESSIS CHENET;;1;;;;;;1;;;;;;;;;;;
87758078;LE VESINET CENTRE;;1;;;1;;;;;;;;;;;;;;
87682005;MELUN;1;;;;;;;1;;;;;;;;1;;;
87758623;PORT ROYAL;;1;;;;1;;;;;;;;;;;;;
87116178;SAINTE-COLOMBE SEPTVEILLES;1;;;;;;;;;;;;;;1;;;;
87758094;SAINT-GERMAIN EN LAYE;;1;;;1;;;;;;;;;;;;;;
87271429;SEVRAN LIVRY;;1;;;;1;;;;;;;;;;;;;
87758201;BOISSY SAINT-LEGER;;1;;;1;;;;;;;;;;;;;;
87681510;BUNO GIRONVILLE;;1;;;;;;1;;;;;;;;;;;
87682161;CESSON;;1;;;;;;1;;;;;;;;;;;
87381459;CONFLANS FIN D'OISE;1;1;;;1;;;;;;1;;1;;;;;;
87681007;CORBEIL ESSONNES;;1;;;;;;1;;;;;;;;;;;
87382259;GARCHES MARNES LA COQUETTE;1;;;;;;;;;;;;1;;;;;;
87683243;JOIGNY;1;;;;;;;;;;;;;;;;;;1
87758862;LA HACQUINIERE;;1;;;;1;;;;;;;;;;;;;
87393280;LES ESSARTS LE ROI;1;;;;;;;;;;;;;1;;;;;
87381509;MANTES LA JOLIE;1;;;;;;;;;;1;;;1;;;;;
87393579;MASSY PALAISEAU;;1;;;;1;1;;;;;;;;;;;;
87332932;MONDESIR;;;;1;;;1;;;;;;;;;;;;
87271486;PARC DES EXPOSITIONS;;1;;;;1;;;;;;;;;;;;;
87393215;VIROFLAY RIVE GAUCHE;1;1;;;;;1;;;;;;;1;;;;;
87393173;CHAVILLE VELIZY;;1;;;;;1;;;;;;;;;;;;
87116111;CHELLES GOURNAY;1;1;;;;;;;1;;;;;;1;;;;
87272047;COMPANS;1;;;;;;;;;;;1;;;;;;;
87116772;CRECY LA CHAPELLE;1;;;;;;;;;;;;;;1;;;;
87681387;EVRY COURCOURONNES - Centre;;1;;;;;;1;;;;;;;;;;;
87276253;LOUVRES;;1;;;;;;1;;;;;;;;;;;
87116087;MORMANT;1;;;;;;;;;;;;;;1;;;;
87116566;NOGENT L'ARTAUD CHARLY;1;;;;;;;;;;;;;;1;;;;
87683136;PONT SUR YONNE;1;;;;;;;;;;;;;;;;;;1
87271460;AEROPORT CHARLES DE GAULLE  1 - Roissy;;1;;;;1;;;;;;;;;;;;;
87387092;BUEIL;1;;;;;;;;;;;;;;;;;;1
87758003;CHARLES DE GAULLE ETOILE;;1;;;1;;;;;;;;;;;;;;
87381228;CHAUMONT EN VEXIN;1;;;;;;;;;;1;;;;;;;;
87382200;COURBEVOIE;1;;;;;;;;;;;;1;;;;;;
87116095;NANGIS;1;;;;;;;;;;;;;;1;;;;
87113746;NOGENT LE PERREUX;;1;;;;;;;1;;;;;;;;;;
87393652;PETIT VAUX;;1;;;;;1;;;;;;;;;;;;
87332957;ROUTE DE MONNERVILLE;;;;1;;;1;;;;;;;;;;;;
87545236;SAVIGNY SUR ORGE;;1;;;;;1;;;;;;;;;;;;
87547315;SAINT MICHEL NOTRE DAME RER C;;1;;;;;1;;;;;;;;;;;;
87758375;TORCY;;1;;;1;;;;;;;;;;;;;;
87381178;US;1;;;;;;;;;;1;;;;;;;;
87391532;VANVES MALAKOFF;1;;;;;;;;;;;;;1;;;;;
87681304;VIGNEUX SUR SEINE;;1;;;;;;1;;;;;;;;;;;
87276550;BELLOY SAINT-MARTIN;1;;;;;;;;;1;;;;;;;;;
87546317;CHEMIN D'ANTONY;;1;;;;;1;;;;;;;;;;;;
87393637;CHILLY MAZARIN;;1;;;;;1;;;;;;;;;;;;
87393439;GARANCIERES LA QUEUE;1;;;;;;;;;;;;;1;;;;;
87271023;GARE DU NORD RER;;1;;;;1;;1;;;;;;;;;;;
87276246;GOUSSAINVILLE;;1;;;;;;1;;;;;;;;;;;
87393306;ISSY VAL DE SEINE;;1;1;;;;1;;;;;;;;;;;;
87276287;LA BORNE BLANCHE;;1;;;;;;1;;;;;;;;;;;
87164798;LA PLAINE STADE DE FRANCE - Saint-Denis Aubervilliers;;1;;;;1;;;;;;;;;;;;;
87276675;MERIEL;1;;;;;;;;;1;;;;;;;;;
87545111;MONNERVILLE;1;;;;;;;;;;;;;;;;;;1
87684001;MONTARGIS;1;;;;;;;;;;;;;;;1;;;
87545269;ABLON;;1;;;;;1;;;;;;;;;;;;
87381848;ARGENTEUIL;1;;;;;;;;;;1;;;;;;;;
87381624;BREVAL;1;;;;;;;;;;;;;;;;;;1
87381475;CHANTELOUP LES VIGNES;1;;;;;;;;;;1;;;;;;;;
87393207;CHAVILLE RIVE GAUCHE;1;;;;;;;;;;;;;1;;;;;
87381418;ERAGNY NEUVILLE;1;;;;;;;;;;1;;;;;;;;
87393074;ISSY;;1;;;;;1;;;;;;;;;;;;
87758615;LUXEMBOURG;;1;;;;1;;;;;;;;;;;;;
87758342;NOISY CHAMPS;;1;;;1;;;;;;;;;;;;;;
87681346;ORANGIS BOIS DE L'EPINE;;1;;;;;;1;;;;;;;;;;;
87164780;STADE DE FRANCE SAINT-DENIS;;1;;;;;;1;;;;;;;;;;;
87393454;TACOIGNIERES RICHEBOURG;1;;;;;;;;;;;;;1;;;;;
87276626;VAUCELLES;1;;;;;;;;;1;;;;;;;;;
87382267;VAUCRESSON;1;;;;;;;;;;;;1;;;;;;
87681312;VIRY CHATILLON;;1;;;;;;1;;;;;;;;;;;
87682112;YERRES;;1;;;;;;1;;;;;;;;;;;
87682146;COMBS LA VILLE QUINCY;;1;;;;;;1;;;;;;;;;;;
87116640;CROUY SUR OURCQ;1;;;;;;;;;;;;;;1;;;;
87271452;VILLEPINTE;;1;;;;1;;;;;;;;;;;;;
87758755;ANTONY;;1;;;;1;;;;;;;;;;;;;
87758680;BAGNEUX;;1;;;;1;;;;;;;;;;;;;
87393546;BIEVRES;;1;;;;;1;;;;;;;;;;;;
87381863;CORMEILLES EN PARISIS;1;;;;;;;;;;1;;;;;;;;
87276055;ERMONT EAUBONNE;1;1;;;;;1;;;1;1;;;;;;;;
87393512;JOUY EN JOSAS;;1;;;;;1;;;;;;;;;;;;
87430900;JOUY SUR MORIN EUSTACHE;;;;1;;;;;;;;;;;1;;;;
87381558;JUZIERS;1;;;;;;;;;;1;;;;;;;;
87758185;LA VARENNE CHENNEVIERES;;1;;;1;;;;;;;;;;;;;;
87681395;LE BRAS DE FER - Evry GÃ©nopole;;1;;;;;;1;;;;;;;;;;;
87113522;LE CHENAY GAGNY;;1;;;;;;;1;;;;;;;;;;
87271528;MITRY CLAYE;1;1;;;;1;;;;;;1;;;;;;;
87754986;BUSSY SAINT-GEORGES;;1;;;1;;;;;;;;;;;;;;
87276451;BRUYERES SUR OISE;1;;;;;;;;;1;;;;;;;;;
87382879;MONTREUIL;1;;;;;;;;;;;;1;;;;;;
87394155;JOUY;1;;;;;;;;;;;;;;;;;;1
87276576;LUZARCHES;1;;;;;;;;;1;;;;;;;;;
87758136;NOGENT SUR MARNE;;1;;;1;;;;;;;;;;;;;;
87393504;PETIT JOUY LES LOGES;;1;;;;;1;;;;;;;;;;;;
87276501;PRESLES COURCELLES;1;;;;;;;;;1;;;;;;;;;
87758722;ROBINSON;;1;;;;1;;;;;;;;;;;;;
87381038;AVENUE FOCH;;1;;;;;1;;;;;;;;;;;;
87545483;BREUILLET BRUYERES LE CHATEL;;1;;;;;1;;;;;;;;;;;;
87276659;FREPILLON;1;;;;;;;;;1;;;;;;;;;
87381806;TRIEL SUR SEINE;1;;;;;;;;;;1;;;;;;;;
87681379;GRIGNY CENTRE;;1;;;;;;1;;;;;;;;;;;
87545301;IVRY SUR SEINE;;1;;;;;1;;;;;;;;;;;;
87393256;LA VERRIERE;1;;;;;;;;;;;;;1;;;1;;
87116319;LAGNY THORIGNY;1;;;;;;;;;;;;;;1;;;;
87271395;LE BOURGET;;1;;;;1;;;;;;;;;;;;;
87272146;LES GRESILLONS;;1;;;;;1;;;;;;;;;;;;
87382465;MARLY LE ROI;1;;;;;;;;;;;;1;;;;;;
87386730;AUBERGENVILLE ELISABETHVILLE;1;;;;;;;;;;1;;;;;;;;
87382002;BECON LES BRUYERES;1;;;;;;;;;;;;1;;;;;;
87116574;CHEZY SUR MARNE;1;;;;;;;;;;;;;;1;;;;
87758870;GIF SUR YVETTE;;1;;;;1;;;;;;;;;;;;;
87381590;MANTES STATION;1;;;;;;;;;;1;;;;;;;;
87381830;MEULAN HARDRICOURT;1;;;;;;;;;;1;;;;;;;;
87681403;MOULIN GALANT;;1;;;;;;1;;;;;;;;;;;
87393322;PONT DU GARIGLIANO - HÃ´pital EuropÃ©en Georges Pompidou;;1;;;;;1;;;;;;;;;;;;
87393223;SAINT-CYR;1;1;;;;;1;;;;;;;1;;;1;;
87785436;SAINT-MICHEL NOTRE DAME RER B;;1;;;;;1;;;;;;;;;;;;
87382481;SAINT-NOM LA BRETECHE FORET DE MARLY;1;;;;;;;;;;;;1;;;;;;
87116293;VAIRES TORCY;1;;;;;;;;;;;;;;1;;;;
87386656;VERNOUILLET VERNEUIL;1;;;;;;;;;;1;;;;;;;;
87382861;VERSAILLES RIVE DROITE;1;;;;;;;;;;;;1;;;;;;
87276568;VIARMES;1;;;;;;;;;1;;;;;;;;;
87545277;VILLENEUVE LE ROI;;1;;;;;1;;;;;;;;;;;;
87682443;VULAINES SUR SEINE SAMOREAU;1;;;;;;;;;;;;;;;1;;;
87381897;CONFLANS SAINTE-HONORINE;1;;;;;;;;;;1;;;;;;;;
87276006;CREIL;1;1;;;;;;1;;1;;;;;;;;;
87271403;DRANCY;;1;;;;1;;;;;;;;;;;;;
87681437;BALLANCOURT;;1;;;;;;1;;;;;;;;;;;
87682450;CHAMPAGNE SUR SEINE;1;;;;;;;;;;;;;;;1;;;
87758607;CHATELET LES HALLES;;1;;;1;1;;1;;;;;;;;;;;
87393272;COIGNIERES;1;;;;;;;;;;;;;1;;;;;
87276436;DOMONT;1;;;;;;;;;1;;;;;;;;;
87545525;DOURDAN;;1;;;;;1;;;;;;;;;;;;
87545137;ETAMPES;;1;;;;;1;;;;;;;;;;;;
87393348;GAZERAN;1;;;;;;;;;;;;;;;;;;1
87382218;LA DEFENSE;1;1;;;1;;;;;;;;1;;;;1;;
87381871;LA FRETTE MONTIGNY;1;;;;;;;;;;1;;;;;;;;
87682187;SAVIGNY LE TEMPLE NANDY;;1;;;;;;1;;;;;;;;;;;
87681825;VILLENEUVE SAINT-GEORGES;;1;;;;;;1;;;;;;;;;;;
87545707;VOVES;1;;;;;;;;;;;;;;;;;;1
87393835;TRAPPES;1;;;;;;;;;;;;;1;;;1;;
87113712;VAL DE FONTENAY;;1;;;1;;;;1;;;;;;;;;;
87116079;VERNEUIL L'ETANG;1;;;;;;;;;;;;;;1;;;;
87113209;PANTIN;;1;;;;;;;1;;;;;;;;;;
87393629;PLAISIR LES CLAYES;1;;;;;;;;;;;;;1;;;;;
87116038;ROISSY EN BRIE;;1;;;;;;;1;;;;;;;;;;
87386573;POISSY;1;1;;;1;;;;;;1;;;;;;;;
87393058;CHAMP DE MARS TOUR EIFFEL;;1;;;;;1;;;;;;;;;;;;
87546291;RUNGIS LA FRATERNELLE;;1;;;;;1;;;;;;;;;;;;
87988709;REMISE A JORELLE (T4);;;1;;;;;;;;;;;;;;;1;
87116376;SAINT-REMY LA VANNE;;;;1;;;;;;;;;;;1;;;;
87381152;BOISSY L'AILLERIE;1;;;;;;;;;;1;;;;;;;;
87332973;SALLE DES FETES;;;;1;;;1;;;;;;;;;;;;
87393421;PLAISIR GRIGNON;1;;;;;;;;;;;;;1;;;;;
87394148;SAINT PIAT;1;;;;;;;;;;;;;;;;;;1
87276154;PONT PETIT;1;;;;;;;;;1;;;;;;;;;
87276089;MONTIGNY BEAUCHAMP;1;1;;;;;1;;;1;;;;;;;;;
87758037;GARE DE NANTERRE UNIVERSITE RER A;;1;;;1;;;;;;;;;;;;;;
87758318;NEUILLY PLAISANCE;;1;;;1;;;;;;;;;;;;;;
87393645;GRAVIGNY BALIZY;;1;;;;;1;;;;;;;;;;;;
87116673;LA FERTE MILON;1;;;;;;;;;;;;;;1;;;;
87758847;ORSAY VILLE;;1;;;;1;;;;;;;;;;;;;
87682302;MONTEREAU;1;;;;;;;;;;;;;;;1;;;
87758656;GENTILLY;;1;;;;1;;;;;;;;;;;;;
87393108;MEUDON;1;;;;;;;;;;;;;1;;;;;
87116103;MEAUX;1;;;;;;;;;;;;;;1;;;;
87384008;PARIS SAINT-LAZARE (GARE SAINT-LAZARE);1;;;;;;;;;;1;;1;;;;;;
87682468;VERNOU SUR SEINE;1;;;;;;;;;;;;;;;1;;;
