stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8768229,"SAINT-MAMMES",,48.382579,2.813293,,,1,
StopArea:DUA8768230,"MONTEREAU",,48.379963,2.943403,,,1,
StopArea:DUA8768310,"VILLENEUVE LA GUYARD",,48.343269,3.069688,,,1,
StopArea:DUA8768312,"CHAMPIGNY SUR YONNE",,48.324052,3.13114,,,1,
StopArea:DUA8768313,"PONT SUR YONNE",,48.286391,3.201894,,,1,
StopArea:DUA8768300,"SENS",,48.198417,3.26732,,,1,
StopArea:DUA8768320,"ETIGNY VERON",,48.137611,3.289742,,,1,
StopArea:DUA8768321,"VILLENEUVE SUR YONNE",,48.085184,3.286257,,,1,
StopArea:DUA8768322,"SAINT-JULIEN DU SAULT",,48.026687,3.302565,,,1,
StopArea:DUA8768324,"JOIGNY",,47.97343,3.392865,,,1,
StopArea:DUA8768326,"LAROCHE MIGENNES",,47.961118,3.514336,,,1,
StopArea:DUA8768225,"THOMERY",,48.394308,2.764028,,,1,
StopArea:DUA8768410,"MONTIGNY SUR LOING",,48.336312,2.738544,,,1,
StopArea:DUA8768411,"BOURRON MARLOTTE GREZ",,48.332889,2.692429,,,1,
StopArea:DUA8768412,"NEMOURS SAINT-PIERRE",,48.267883,2.685681,,,1,
StopArea:DUA8768419,"BAGNEAUX SUR LOING",,48.230053,2.703526,,,1,
StopArea:DUA8768421,"SOUPPES CHATEAU LANDON",,48.181604,2.735577,,,1,
StopArea:DUA8768423,"DORDIVES",,48.147218,2.762728,,,1,
StopArea:DUA8768424,"FERRIERES FONTENAY",,48.100858,2.773714,,,1,
StopArea:DUA8768400,"MONTARGIS",,48.007032,2.743038,,,1,
StopArea:DUA8768182,"VILLENEUVE SAINT-GEORGES",,48.730261,2.446881,,,1,
StopArea:DUA8768210,"MONTGERON CROSNE",,48.707961,2.462465,,,1,
StopArea:DUA8768213,"BOUSSY SAINT-ANTOINE",,48.680987,2.533021,,,1,
StopArea:DUA8768214,"COMBS LA VILLE QUINCY",,48.667625,2.548086,,,1,
StopArea:DUA8768211,"YERRES",,48.706894,2.483313,,,1,
StopArea:DUA8768212,"BRUNOY",,48.699351,2.505957,,,1,
StopArea:DUA8768215,"LIEUSAINT MOISSY",,48.628547,2.569069,,,1,
StopArea:DUA8768218,"SAVIGNY LE TEMPLE NANDY",,48.595824,2.584331,,,1,
StopArea:DUA8768216,"CESSON",,48.565094,2.593873,,,1,
StopArea:DUA8768217,"LE MEE",,48.540059,2.62415,,,1,
StopArea:DUA8768240,"LIVRY SUR SEINE",,48.510301,2.679295,,,1,
StopArea:DUA8768241,"CHARTRETTES",,48.48699,2.694851,,,1,
StopArea:DUA8768242,"FONTAINE LE PORT",,48.48709,2.751198,,,1,
StopArea:DUA8768243,"HERICY",,48.443336,2.759856,,,1,
StopArea:DUA8768244,"VULAINES SUR SEINE SAMOREAU",,48.430971,2.753178,,,1,
StopArea:DUA8768245,"CHAMPAGNE SUR SEINE",,48.406406,2.799194,,,1,
StopArea:DUA8768246,"GARE DE VERNOU SUR SEINE",,48.386515,2.842008,,,1,
StopArea:DUA8768247,"LA GRANDE PAROISSE",,48.379068,2.897153,,,1,
StopArea:DUA8760880,"CRETEIL POMPADOUR",,48.77271,2.435438,,,1,
StopArea:DUA8768115,"MAISONS ALFORT ALFORTVILLE",,48.801517,2.427294,,,1,
StopArea:DUA8738189,"CONFLANS SAINTE-HONORINE",,48.997098,2.096877,,,1,
StopArea:DUA8738148,"MAURECOURT",,48.988257,2.060277,,,1,
StopArea:DUA8738149,"ANDRESY",,48.975054,2.049889,,,1,
StopArea:DUA8738147,"CHANTELOUP LES VIGNES",,48.970533,2.027795,,,1,
StopArea:DUA8738180,"TRIEL SUR SEINE",,48.981138,2.00552,,,1,
StopArea:DUA8738181,"GARE DE VAUX SUR SEINE",,49.006866,1.963563,,,1,
StopArea:DUA8738182,"THUN LE PARADIS",,49.006779,1.918454,,,1,
StopArea:DUA8738183,"MEULAN HARDRICOURT",,49.006367,1.900722,,,1,
StopArea:DUA8738155,"JUZIERS",,48.992357,1.844436,,,1,
StopArea:DUA8738156,"GARGENVILLE",,48.98356,1.810388,,,1,
StopArea:DUA8738157,"ISSOU PORCHEVILLE",,48.979169,1.784804,,,1,
StopArea:DUA8738158,"LIMAY",,48.983888,1.747584,,,1,
StopArea:DUA8738159,"MANTES STATION",,48.983541,1.715746,,,1,
StopArea:DUA8738150,"MANTES LA JOLIE",,48.989567,1.703834,,,1,
StopArea:DUA8738107,"BOIS COLOMBES",,48.914929,2.270367,,,1,
StopArea:DUA8738108,"COLOMBES",,48.923788,2.258557,,,1,
StopArea:DUA8738109,"LE STADE",,48.930659,2.260786,,,1,
StopArea:DUA8738184,"ARGENTEUIL",,48.946488,2.257376,,,1,
StopArea:DUA8738179,"VAL D'ARGENTEUIL",,48.950609,2.230982,,,1,
StopArea:DUA8738186,"CORMEILLES EN PARISIS",,48.968403,2.194441,,,1,
StopArea:DUA8738187,"LA FRETTE MONTIGNY",,48.980117,2.181774,,,1,
StopArea:DUA8738188,"HERBLAY",,48.990978,2.16119,,,1,
StopArea:DUA8738141,"GARE D'ERAGNY NEUVILLE",,49.017998,2.090753,,,1,
StopArea:DUA8738142,"GARE DE ST OUEN L'AUMONE QUARTIER DE L'EGLISE",,49.039981,2.103853,,,1,
StopArea:DUA8727613,"PONTOISE",,49.046892,2.09518,,,1,
StopArea:DUA8738114,"OSNY",,49.063052,2.057387,,,1,
StopArea:DUA8738115,"BOISSY L'AILLERIE",,49.075843,2.024953,,,1,
StopArea:DUA8727618,"SANNOIS",,48.969904,2.263642,,,1,
StopArea:DUA8727605,"ERMONT EAUBONNE",,48.980253,2.271334,,,1,
StopArea:DUA8738116,"MONTGEROULT COURCELLES",,49.080494,2.003715,,,1,
StopArea:DUA8738117,"US",,49.09965,1.970536,,,1,
StopArea:DUA8738118,"SANTEUIL LE PERCHAY",,49.123452,1.949333,,,1,
StopArea:DUA8738119,"CHARS",,49.162671,1.936929,,,1,
StopArea:DUA8738120,"LA VILLETERTRE",,49.202694,1.920548,,,1,
StopArea:DUA8738121,"LIANCOURT SAINT-PIERRE",,49.220807,1.905299,,,1,
StopArea:DUA8738122,"CHAUMONT EN VEXIN",,49.261322,1.872589,,,1,
StopArea:DUA8738123,"TRIE CHATEAU",,49.28259,1.818082,,,1,
StopArea:DUA8738124,"GISORS",,49.285264,1.785066,,,1,
StopArea:DUA8738664,"VILLENNES SUR SEINE",,48.939491,1.999496,,,1,
StopArea:DUA8738665,"VERNOUILLET VERNEUIL",,48.980974,1.982515,,,1,
StopArea:DUA8738666,"LES CLAIRIERES DE VERNEUIL",,48.992316,1.955334,,,1,
StopArea:DUA8738668,"LES MUREAUX",,48.992983,1.912992,,,1,
StopArea:DUA8738673,"AUBERGENVILLE ELISABETHVILLE",,48.971894,1.848324,,,1,
StopArea:DUA8738676,"EPONE MEZIERES",,48.962956,1.808578,,,1,
StopArea:DUA8741560,"VERNON",,49.090597,1.479176,,,1,
StopArea:DUA8741589,"BONNIERES",,49.038237,1.578866,,,1,
StopArea:DUA8741588,"ROSNY SUR SEINE",,48.997167,1.630093,,,1,
StopArea:DUA8739100,"GARE DE PARIS MONTPARNASSE",,48.842507,2.321825,,,1,
StopArea:DUA8739153,"VANVES MALAKOFF",,48.819306,2.291529,,,1,
StopArea:DUA8739156,"CLAMART",,48.813663,2.273106,,,1,
StopArea:DUA8739310,"MEUDON",,48.814807,2.241096,,,1,
StopArea:DUA8739311,"BELLEVUE",,48.819047,2.229571,,,1,
StopArea:DUA8739312,"SEVRES RIVE GAUCHE",,48.820868,2.215799,,,1,
StopArea:DUA8739320,"CHAVILLE RIVE GAUCHE",,48.804649,2.188323,,,1,
StopArea:DUA8739321,"VIROFLAY RIVE GAUCHE",,48.800944,2.171299,,,1,
StopArea:DUA8739340,"FONTENAY LE FLEURY",,48.807418,2.040155,,,1,
StopArea:DUA8739341,"VILLEPREUX LES CLAYES",,48.823745,1.991822,,,1,
StopArea:DUA8739362,"PLAISIR LES CLAYES",,48.830684,1.959876,,,1,
StopArea:DUA8739342,"PLAISIR GRIGNON",,48.831498,1.943725,,,1,
StopArea:DUA8739388,"VILLIERS NEAUPHLE PONTCHARTRAIN",,48.814471,1.875527,,,1,
StopArea:DUA8739389,"MONTFORT L'AMAURY MERE",,48.802427,1.815305,,,1,
StopArea:DUA8739343,"GARANCIERES LA QUEUE",,48.810719,1.765057,,,1,
StopArea:DUA8739344,"ORGERUS BEHOUST",,48.826573,1.702797,,,1,
StopArea:DUA8739345,"TACOIGNIERES RICHEBOURG",,48.829569,1.668882,,,1,
StopArea:DUA8739346,"HOUDAN",,48.795824,1.602382,,,1,
StopArea:DUA8739347,"MARCHEZAIS BROUE",,48.768422,1.513333,,,1,
StopArea:DUA8739348,"DREUX",,48.730955,1.369974,,,1,
StopArea:DUA8739336,"BEYNES",,48.859931,1.875563,,,1,
StopArea:DUA8738171,"MAREIL SUR MAULDRE",,48.893239,1.871738,,,1,
StopArea:DUA8738172,"MAULE",,48.908726,1.857333,,,1,
StopArea:DUA8738173,"NEZEL AULNAY",,48.938711,1.84096,,,1,
StopArea:DUA8711632,"ESBLY",,48.903333,2.810929,,,1,
StopArea:DUA8711640,"MONTRY CONDE",,48.890784,2.826475,,,1,
StopArea:DUA8711673,"COUILLY SAINT-GERMAIN QUINCY",,48.883291,2.853867,,,1,
StopArea:DUA8711674,"VILLIERS MONTBARBIN",,48.86329,2.883202,,,1,
StopArea:DUA8711677,"CRECY LA CHAPELLE",,48.859304,2.90544,,,1,
